holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04T22:00:00.000Z,1992
None,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04T23:00:00.000Z,1166
None,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05T00:00:00.000Z,627
None,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05T01:00:00.000Z,388
None,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05T03:00:00.000Z,368
None,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05T05:00:00.000Z,2489
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T06:00:00.000Z,5537
None,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T07:00:00.000Z,6628
None,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T08:00:00.000Z,5534
None,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05T09:00:00.000Z,5403
None,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05T10:00:00.000Z,4770
None,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T11:00:00.000Z,5217
None,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T12:00:00.000Z,5870
None,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05T13:00:00.000Z,5967
None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T14:00:00.000Z,6108
None,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T15:00:00.000Z,6128
None,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T16:00:00.000Z,6069
None,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T17:00:00.000Z,6169
None,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T18:00:00.000Z,5384
None,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T19:00:00.000Z,4063
None,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05T20:00:00.000Z,3364
None,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05T21:00:00.000Z,2971
None,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05T22:00:00.000Z,2450
None,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05T23:00:00.000Z,1832
None,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T00:00:00.000Z,1231
None,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T01:00:00.000Z,718
None,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T02:00:00.000Z,545
None,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06T04:00:00.000Z,411
None,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06T05:00:00.000Z,688
None,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06T06:00:00.000Z,1352
None,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06T07:00:00.000Z,2072
None,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06T08:00:00.000Z,3342
None,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06T09:00:00.000Z,4258
None,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06T10:00:00.000Z,4861
None,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06T11:00:00.000Z,5191
None,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06T12:00:00.000Z,5669
None,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06T13:00:00.000Z,5074
None,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06T14:00:00.000Z,5025
None,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06T15:00:00.000Z,5153
None,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T16:00:00.000Z,5024
None,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T17:00:00.000Z,4779
None,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T18:00:00.000Z,4362
None,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T19:00:00.000Z,3860
None,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T20:00:00.000Z,3160
None,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T21:00:00.000Z,2992
None,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06T22:00:00.000Z,3202
None,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06T23:00:00.000Z,1941
None,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07T00:00:00.000Z,1233
None,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T03:00:00.000Z,323
None,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T04:00:00.000Z,312
None,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07T05:00:00.000Z,627
None,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T06:00:00.000Z,1508
None,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T07:00:00.000Z,1539
None,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07T08:00:00.000Z,2232
None,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07T09:00:00.000Z,4568
None,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07T10:00:00.000Z,4624
None,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T11:00:00.000Z,4529
None,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T12:00:00.000Z,5139
None,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T13:00:00.000Z,6640
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T14:00:00.000Z,6589
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T15:00:00.000Z,4429
None,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T16:00:00.000Z,4329
None,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T17:00:00.000Z,3833
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T18:00:00.000Z,4015
None,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T19:00:00.000Z,3382
None,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07T20:00:00.000Z,2815
None,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07T21:00:00.000Z,2110
None,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07T22:00:00.000Z,1555
None,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07T23:00:00.000Z,959
Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08T00:00:00.000Z,455
None,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08T01:00:00.000Z,336
None,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08T02:00:00.000Z,265
None,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08T03:00:00.000Z,314
None,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08T04:00:00.000Z,779
None,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08T05:00:00.000Z,2571
None,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08T06:00:00.000Z,5563
None,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08T07:00:00.000Z,6676
None,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08T08:00:00.000Z,5966
None,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08T09:00:00.000Z,4832
None,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08T10:00:00.000Z,4395
None,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08T11:00:00.000Z,4411
None,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08T12:00:00.000Z,4648
None,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08T13:00:00.000Z,4602
None,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08T14:00:00.000Z,5125
None,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08T15:00:00.000Z,5502
None,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08T16:00:00.000Z,5979
None,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08T17:00:00.000Z,5663
None,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08T18:00:00.000Z,4259
None,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08T19:00:00.000Z,3069
None,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08T20:00:00.000Z,2378
None,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08T21:00:00.000Z,2030
None,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08T22:00:00.000Z,1400
None,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08T23:00:00.000Z,917
None,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09T00:00:00.000Z,515
None,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09T01:00:00.000Z,302
None,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09T02:00:00.000Z,251
None,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09T04:00:00.000Z,798
None,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09T05:00:00.000Z,2678
None,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09T06:00:00.000Z,5733
None,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09T07:00:00.000Z,6449
None,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T08:00:00.000Z,5765
None,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T09:00:00.000Z,5599
None,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T10:00:00.000Z,4534
None,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T11:00:00.000Z,4691
None,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09T12:00:00.000Z,5067
None,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09T13:00:00.000Z,5030
None,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T14:00:00.000Z,5300
None,287.23,0.0,0.0,100,Rain,light rain,2012-10-09T15:00:00.000Z,5777
None,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T16:00:00.000Z,6349
None,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T17:00:00.000Z,6127
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T18:00:00.000Z,4460
None,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09T19:00:00.000Z,3418
None,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T20:00:00.000Z,2775
None,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T21:00:00.000Z,2306
None,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T22:00:00.000Z,1846
None,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09T23:00:00.000Z,947
None,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10T00:00:00.000Z,494
None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10T01:00:00.000Z,332
None,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10T02:00:00.000Z,261
None,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10T03:00:00.000Z,361
None,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10T06:00:00.000Z,5875
None,281.25,0.0,0.0,99,Rain,light rain,2012-10-10T07:00:00.000Z,6793
None,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10T07:00:00.000Z,6793
None,280.1,0.0,0.0,99,Rain,light rain,2012-10-10T08:00:00.000Z,6283
None,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10T08:00:00.000Z,6283
None,279.61,0.0,0.0,99,Rain,light rain,2012-10-10T09:00:00.000Z,5680
None,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10T09:00:00.000Z,5680
None,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10T10:00:00.000Z,4632
None,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10T11:00:00.000Z,4887
None,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10T12:00:00.000Z,5030
None,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10T13:00:00.000Z,5067
None,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10T14:00:00.000Z,5227
None,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10T15:00:00.000Z,5610
None,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10T16:00:00.000Z,6286
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10T18:00:00.000Z,4775
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10T19:00:00.000Z,3340
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10T20:00:00.000Z,3013
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10T21:00:00.000Z,2603
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10T22:00:00.000Z,1910
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10T23:00:00.000Z,1037
None,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11T01:00:00.000Z,347
None,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11T03:00:00.000Z,350
None,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11T04:00:00.000Z,850
None,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11T05:00:00.000Z,2791
None,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11T06:00:00.000Z,5809
None,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11T07:00:00.000Z,6798
None,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11T08:00:00.000Z,6304
None,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11T09:00:00.000Z,5291
None,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11T10:00:00.000Z,4638
None,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11T14:00:00.000Z,5557
None,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11T15:00:00.000Z,5818
None,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11T16:00:00.000Z,6272
None,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11T17:00:00.000Z,5944
None,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11T18:00:00.000Z,4949
None,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11T19:00:00.000Z,3511
None,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11T20:00:00.000Z,3039
None,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11T21:00:00.000Z,2679
None,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11T22:00:00.000Z,2094
None,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11T23:00:00.000Z,1284
None,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12T00:00:00.000Z,630
None,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12T01:00:00.000Z,410
None,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12T02:00:00.000Z,331
None,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12T03:00:00.000Z,372
None,282.26,0.0,0.0,72,Rain,light rain,2012-10-12T04:00:00.000Z,739
None,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12T05:00:00.000Z,2561
None,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12T06:00:00.000Z,5586
None,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12T07:00:00.000Z,6992
None,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12T08:00:00.000Z,5860
None,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12T09:00:00.000Z,5230
None,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12T10:00:00.000Z,4864
None,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12T11:00:00.000Z,5146
None,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12T12:00:00.000Z,5526
None,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12T13:00:00.000Z,5383
None,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12T14:00:00.000Z,5758
None,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12T15:00:00.000Z,5889
None,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12T16:00:00.000Z,6057
None,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12T17:00:00.000Z,6028
None,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12T18:00:00.000Z,5257
None,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12T23:00:00.000Z,1897
None,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13T00:00:00.000Z,1335
None,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13T01:00:00.000Z,769
None,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13T02:00:00.000Z,570
None,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13T03:00:00.000Z,413
None,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13T04:00:00.000Z,399
None,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13T05:00:00.000Z,740
None,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13T06:00:00.000Z,1420
None,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13T07:00:00.000Z,2220
None,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13T08:00:00.000Z,3479
None,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13T09:00:00.000Z,4546
None,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13T10:00:00.000Z,4579
None,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13T11:00:00.000Z,4438
None,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13T12:00:00.000Z,4623
None,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13T13:00:00.000Z,4440
None,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13T14:00:00.000Z,4495
None,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13T15:00:00.000Z,4483
None,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13T16:00:00.000Z,4591
None,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13T17:00:00.000Z,4477
None,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13T18:00:00.000Z,4221
None,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13T19:00:00.000Z,3672
None,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13T20:00:00.000Z,3015
None,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13T21:00:00.000Z,2769
None,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13T22:00:00.000Z,2875
None,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13T23:00:00.000Z,1931
None,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T00:00:00.000Z,1309
None,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T01:00:00.000Z,870
None,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T02:00:00.000Z,654
None,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T03:00:00.000Z,364
None,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T04:00:00.000Z,262
None,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T05:00:00.000Z,505
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T06:00:00.000Z,861
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14T07:00:00.000Z,1132
None,282.24,0.0,0.0,57,Mist,mist,2012-10-14T08:00:00.000Z,1797
None,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14T09:00:00.000Z,2685
None,282.43,0.0,0.0,57,Mist,mist,2012-10-14T09:00:00.000Z,2685
None,282.43,0.0,0.0,57,Haze,haze,2012-10-14T09:00:00.000Z,2685
None,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14T10:00:00.000Z,3370
None,282.33,0.0,0.0,57,Mist,mist,2012-10-14T10:00:00.000Z,3370
None,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14T11:00:00.000Z,3662
None,282.82,0.0,0.0,57,Mist,mist,2012-10-14T11:00:00.000Z,3662
None,283.33,0.0,0.0,57,Mist,mist,2012-10-14T12:00:00.000Z,4076
None,283.33,0.0,0.0,57,Rain,light rain,2012-10-14T12:00:00.000Z,4076
None,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14T12:00:00.000Z,4076
None,283.75,0.0,0.0,93,Rain,light rain,2012-10-14T13:00:00.000Z,4128
None,283.75,0.0,0.0,93,Mist,mist,2012-10-14T13:00:00.000Z,4128
None,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14T13:00:00.000Z,4128
None,284.09,0.0,0.0,93,Mist,mist,2012-10-14T14:00:00.000Z,4358
None,284.09,0.0,0.0,93,Rain,light rain,2012-10-14T14:00:00.000Z,4358
None,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14T14:00:00.000Z,4358
None,284.55,0.0,0.0,93,Mist,mist,2012-10-14T15:00:00.000Z,4342
None,284.55,0.0,0.0,93,Rain,light rain,2012-10-14T15:00:00.000Z,4342
None,284.68,0.0,0.0,93,Mist,mist,2012-10-14T16:00:00.000Z,4234
None,284.64,0.0,0.0,93,Rain,light rain,2012-10-14T17:00:00.000Z,4271
None,284.64,0.0,0.0,93,Mist,mist,2012-10-14T17:00:00.000Z,4271
None,284.4,0.0,0.0,93,Mist,mist,2012-10-14T18:00:00.000Z,4080
None,284.17,0.0,0.0,93,Mist,mist,2012-10-14T19:00:00.000Z,3453
None,284.03,0.0,0.0,93,Mist,mist,2012-10-14T20:00:00.000Z,2718
None,283.58,0.0,0.0,93,Mist,mist,2012-10-14T21:00:00.000Z,2439
None,283.04,0.0,0.0,93,Mist,mist,2012-10-14T22:00:00.000Z,1819
None,281.95,0.0,0.0,93,Mist,mist,2012-10-14T23:00:00.000Z,1002
None,281.95,0.0,0.0,93,Fog,fog,2012-10-14T23:00:00.000Z,1002
None,281.61,0.0,0.0,93,Mist,mist,2012-10-15T00:00:00.000Z,542
